name,title,stars,review
Marsha S. Auster,leaky batteries,1.0 out of 5 stars,Not only did a few batteries leak they ruined one of my Gideon Flameless LED candles. I am so disappointed. I thought that with the Amazon name I would have a quality product. I purchase many products from the Amazon website.I would like a refund and a replacement for the ruined Gideion Flameless LED candle. I purchased three candles and the 6 inch candle is ruined.
B. Bourque,These batteries leak and will destroy electronic devices.,1.0 out of 5 stars,"I usually love Amazon products, but hate these batteries. A pack of 36 AAA were purchased in 2015 and used in a number of items, ranging from clocks, multi-meters, IR temperature gauges, etc. Every single one of these devices that I have placed the Amazon batteries in, and left them for a couple years, has leaked causing serious damage to the product. Duracell and Energizer batteries have never leaked on me. Spend more money and get a quality battery that will not leak. Amazon should not be selling such a poor product that has caused many times the batteries original purchase price to my electronic devices."
D. Ross,Leaked and ruined a vehicle alarm remote control!,1.0 out of 5 stars,"Unfortunately these batteries are not a quality product. I purchased a carton of them with expiration dates of 2027 yet they go dead quickly and LEAK! The only reason I tried this brand is due to many Duracell failures over the past couple of years including longevity and leakage. It seems to be a constant battle these days finding a decent battery at any price point and I'll assure you that THESE are NOT a decent battery. So now what? Well, I attempt to locate each piece of equipment into which these leakers were installed and replace them with a different brand. Not to mention I'll need to toss the remaining ""good"" (and I use that term loosely) batteries."
Westin S,Battery case ruptured!,1.0 out of 5 stars,Well I would have thought these batteries were great up until I opened my kids RC spider and found one of the batteries had ruptured. Don't think I've ever seen the case of a battery come apart like this. Ordered AC Delcos this time around. Some other reviewer posted performance data indicating they were the best bang for your buck. Had no problems prior to this one so I can't say it's a systemic issue but it is worthy of note.
T. Smiley,Something's Wrong!,1.0 out of 5 stars,"Bought a new Amazon Firestick remote control (sweet puppy consumed the previous one). Had it for a couple of weeks and received an alert that the battery life was low and so I bought these Amazon batteries as a replacement. (I love Amazon, right!?) Received the batteries and changed them in the remote. Four days later the alert pops up on the TV that battery life was low again. Busy and consumed with teaching summer school and raising children, I thought maybe I just ""thought"" about replacing them before but didn't really do it. So I did do it (again) and sure enough, within 4-5 days the same alert appears. Replaced the batteries again in the remote. Last night, the same alert appears. ... Unbelievable! What is wrong with these batteries? At this rate of having to replace these batteries, I can't afford to watch free TV. I'll never buy these batteries again."
Michelle,Do not buy! Barely last or even works.,1.0 out of 5 stars,"I bought these batteries for my closet automatic LED light strips that turn on for 30 seconds. I only go Into my closet 4 x a day but I would replace the batteries once a month. Then my Duracell batteries in my Thermostat died after five years. I replaced the Thermostst with Amazon batteries, would not turn on. I went through half the pack and finally one pair of Amazon batteries worked! Next day? Thermostat indicated low batteries and the screen barely can be read. Replaced the batteries in my thermostat with Enigizer batteries, no issues!"
jan bush,Don't waste your money,1.0 out of 5 stars,"I purchased these batteries to go in some led puck lights. Each light takes 3 batteries. I purchased them about 2 weeks ago and installed the lights. This morning the lights were already out, and I had to replace the batteries again. These lights are not in constant use, I'd say only used approximately 4 or 5 hours in the 2 weeks I've had them. The batteries are CRAP, and prove the adage, you get what you pay for."
D. Campisi,"Considering the price as well as performance, I can't find a better deal on batteries",5.0 out of 5 stars,"I had been buying Duracell batteries (AA, AAA, C, D) from Sam's Wholesale club because the bulk prices were better than small battery packages, but I switched to AmazonBasics. The reason is the price. Of course, that brings up the question of performance. Which is better? I have 3 kids and a zillion electronic toys. We replace batteries often around here, and frankly there are so many electronic toys, controllers, and remotes, that I have a hard time keeping up with performance of specific batteries. But I came to a realization after comparing prices between the 48 pack of AmazonBasics, and the 48-pack of Duracell at Sam's. For the batteries I was buying, the Duracells would have to last 66% longer to justify the price difference. Now I can't be sure which lasted longer, but I know for sure the Duracells I used to use were NOT lasting 66% longer than the AmazonBasics. They may have been better, but not THAT MUCH better. I'll stick with the AmazonBasics."
LMW,Buyer beware! Not safe!!,1.0 out of 5 stars,"I added 4 of the batteries to my charger (also purchased from Amazon) and heard a popping noise in the middle of the night. Discovered the AAA batteries were popping or bursting or something. I’ve used this charger before with other Amazon batteries, but never the orange colored ones. Not sure what’s different with the orange batteries but I will never purchase these again. Hoping my charger will still work."
Damon S.,Complete Garbage!  You get what you pay for...,1.0 out of 5 stars,"These batteries are complete garbage. I have all sorts of dead batteries and some have exploded in my electronics and gadgets. It's that or they die very quickly. Which means there must be other dead cells in batteries that are in the chain. What people don't realize is, batteries work in a series. So when one battery dies, it works as a pass through after that which puts a greater strain on the rest of the batteries in the chain which can cause them to heat, swell or explode. You get what you pay for. I will not be buying anymore of these second class batteries. Energizer and Duracell cost what they do for a reason."
PCMR,"If you like paying for 36, but only getting 24 batteries then THIS is the product for you",1.0 out of 5 stars,"Box was open and only 24 batteries were in it. Not going to return as it’s not worth my time, but someone should know."
O. Albretsen,Work just fine and GREAT price!,5.0 out of 5 stars,"Reading reviews here from people complaining about these batteries is pretty comical. The funniest thing was the amazing number of people crying and giving low score reviews because their batteries won't ""charge up right.""Wow, people today don't even understand the CONCEPT of disposable batteries, lol! For me, these are working just great. I bought a 20 pack for $7, which is about what 6 Duracells normally cost, so, value-wise, they'd have to be REALLY bad to make them a poor purchase. I've used about 8 of them in various electronic devices for a couple months now, and have had no leaking or weak power issues anywhere, so 20 solid AAA batteries for just $7 is a GREAT DEAL!I can't accurately speak about longevity after just a couple months, but everything else about this purchase is very satisfying.Update: it has now been 9 months since I bought these batteries, and have yet to encounter any negative issues (such as leaking or low power). I only use them in things that won't use much charge, such as remote controls. Thus far, I haven't had any of them run out of power."
Bec_O,LEAK LEAK LEAK,1.0 out of 5 stars,"LEAKS GALORE! If one of your favorite things in life is to have your batteries leak in expensive toys and ruin the electrical components of said toys, these batteries are for you. These leaks occurred in toys that are used almost daily, so the batteries weren’t just sitting around unused. We even had a few batteries have the end cap come off of the - end. Fanfreakingtastic. This happened with both AA and AAA batteries and multiple batteries experienced the leaking. Saving a few bucks on Amazon branded batteries isn’t worth it compared to the value of the toys that were ruined."
Jamie,Battery life is very short.,1.0 out of 5 stars,"I bought these batteries specifically for these lights that I turn on using the remote in photos privided for about 3 hours each evening. I have 5 lights. I put the amazon batteries in 3 and a name brand batteries in the remaining 2 lights. The amazon batteries are already dead and had to be replaced, whereas the name brand batteries are running strong. Very disappointed in the quality of the amazon basic aaa batteries."
Schpeen,"Great Value, and Good batteries.",5.0 out of 5 stars,"I was a bit skeptical to buy a non brand name battery but we go through so many batteries in my house I decided to give these a try. I have several friends and family that have purchased these and add good luck so I went ahead and bought them. Pretty impressed for the amount you get for the price, and they are performing just as good as name brand batteries I have gotten for years. I will now continue to get these for all sizes. Save your money, and get these."
Patrick Montoya,Great price,5.0 out of 5 stars,Last long
HY,Awful. Only 25 pct (indicator says so) using new batteries.,1.0 out of 5 stars,"These are ridiculously overrated. I decided to give Amazon batteries another try after a bad experience the first time but I thought the price was right again. Shame on me. I ordered 48 batteries. I use them for automatic candles. I do not use them all at once and so when I tried to use a brand new package for a timer, the battery indicator kept flashing and it showed at about 25%. I opened another package of four out of this box, tried another brand new two batteries and the same thing happened. These might be great if you use them right away but if you hold onto them for a couple of months and try to use them later they are worthless. Beware and just go with Energizer or Duracell. This is a Complete total waste of money. Shame on Amazon. Of course it is too late for me to get any sort of refund so I have about 24 batteries that are only at 25%."
