Title,Contact,Phone,Email,Website,Address,Hours,URL
TriGreen Equipment  - Scottsboro,Sales Department,(256) 487-7068,bryanbarton@trigreen.com,http://www.trigreenequipment.com/,"26685 John T. Reid Pkwy.Scottsboro, AL 35768",Sun: closed; Mon: 07:00 AM - 05:00 PM; Tue: 07:00 AM - 05:00 PM; Wed: 07:00 AM - 05:00 PM; Thu: 07:00 AM - 05:00 PM; Fri: 07:00 AM - 05:00 PM; Sat: 07:00 AM - 12:00 PM,https://www.machinerypete.com/store/trigreen-equipment-scottsboro
Western Equipment - Woodward,Sales Department,(580) 297-7049,sales@west-equip.com,https://west-equip.com,"3999 Lakeview Dr.Woodward, OK 73801",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/western-equipment-woodward
Zimmerman Farms - Romulus,Durrell Zimmerman,,zimmermanfarms@emypeople.net,,"5001 Kings Corners RoadRomulus, NY 14541",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/zimmerman-farms-romulus
Vause Equipment - Fayetteville,Lora,(910) 483-7165,info@vauseequipment.com,http://vauseequipment.com,"1013 Gillespie StreetFayetteville, NC 28306",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/vause-equipment-fayetteville
"Zimmerman Farm Service, Inc. - Bethel",Sales Department,(717) 373-1575,jay@zimmermanfarmservice.com,http://www.zimmermanfarmservice.com,"180 School RoadBethel, PA 19507",Sun: closed - closed; Mon: 07:00 AM - 06:00 PM; Tue: 07:00 AM - 06:00 PM; Wed: 07:00 AM - 06:00 PM; Thu: 07:00 AM - 06:00 PM; Fri: 07:00 AM - 06:00 PM; Sat: 07:00 AM - 02:00 PM,https://www.machinerypete.com/store/zimmerman-farm-service-inc-bethel
"Mid-State Equipment Co., Inc.",Contact Sales Department,(844) 329-2903,rentals@midstateequip.com,https://midstateequip.com,"63 NJ-31Pennington, NJ 08534",Sun: closed - closed; Mon: 07:30 AM - 05:00 PM; Tue: 07:30 AM - 05:00 PM; Wed: 07:30 AM - 05:00 PM; Thu: 07:30 AM - 05:00 PM; Fri: 07:30 AM - 05:00 PM; Sat: 09:00 AM - 01:00 PM,https://www.machinerypete.com/store/mid-state-equipment-co-inc
Western Equipment - Clovis,Sales Department,(575) 218-7674,sales@west-equip.com,https://west-equip.com,"5800 Mabry DriveClovis, NM 88101",Sun: closed - closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/western-equipment-clovis
Wise Bros. Inc. - Kingdom City,Harrison Backer,(573) 642-6395,wisebrothersequipment@gmail.com,https://www.wisebrosinc.com,"3361 Old US HighwayKingdom City, MO 65262",Sun: closed; Mon: 09:00 AM - 05:00 PM; Tue: 09:00 AM - 05:00 PM; Wed: 09:00 AM - 05:00 PM; Thu: 09:00 AM - 05:00 PM; Fri: 09:00 AM - 05:00 PM; Sat: closed,https://www.machinerypete.com/store/wise-bros-inc-kingdom-city
Zimmer Tractor - Monroe,Sales Department,(513) 539-0539,,https://www.zimmertractor.com/,"461 Breaden DrMonroe, OH 45050",Sun: closed; Mon: 07:30 AM - 05:00 PM; Tue: 07:30 AM - 05:00 PM; Wed: 07:30 AM - 05:00 PM; Thu: 07:30 AM - 05:00 PM; Fri: 07:30 AM - 05:00 PM; Sat: 07:30 AM - 12:30 PM,https://www.machinerypete.com/store/zimmer-tractor-monroe
AKRS Equipment - Spalding,Sales Department,(402) 227-3598,mstracke@akrs.com,https://www.akrs.com/,"North Mill StreetSpalding, NE 68665",Sun: closed; Mon: 08:00 AM - 05:00 PM; Tue: 08:00 AM - 05:00 PM; Wed: 08:00 AM - 05:00 PM; Thu: 08:00 AM - 05:00 PM; Fri: 08:00 AM - 05:00 PM; Sat: 08:00 AM - 12:00 PM,https://www.machinerypete.com/store/akrs-equipment-spalding
