School Name,Physical Address,Postal Address,Email,Phone,SchoolMgt Name,Designation,Mobile,Email_2
Alice Springs School Of The Air,"80 Head St, Alice Springs, 0870, NT","PO Box 1220, Alice Springs, 0871, NT",assoa@assoa.nt.edu.au,(08) 8951 6800,Russell,Principal,(08) 8951 6800,kerrie.russell@education.nt.gov.au
Casuarina Senior College,"61 Parer Dr, Moil, 0810, NT","PO Box  40196, CASUARINA, 0811, NT",csc.admin@education.nt.gov.au,(08) 898 37300,Dixon,Principal,(08) 898 37300,glenn.dixon@education.nt.gov.au
Canteen Creek School,"N/a, Canteen Creek, NT","PMB 105, via Alice Springs, 0872, NT",admin.cantesch@education.nt.gov.au,(08) 8964 1505,Verdillo,Business Manager,(08) 896 32013,rowena.verdillo@education.nt.gov.au
Alcoota School,"N/A, Engawala (Alcoota Stn), NT","PMB 129,, via Alice Springs, 0872, NT",sian.munn@education.nt.gov.au,(08) 8956 9977,Munn,Principal,(08) 8956 9977,sian.munn@education.nt.gov.au
Alice Springs Language Centre,"Milner Road, Alice SPrings, 0870, NT","PO Box 9045, Alice Springs, 0871, NT",alice.language@education.nt.gov.au,(08) 895 52366,Moore,Principal,(08) 895 52366,susan.moore@education.nt.gov.au
Alekarenge School,"N/A, Ali Curung (Warrabri), NT","LMB 161, via Alice Springs, 0872, NT",admin.alekacec@education.nt.gov.au,(08) 8964 1957,Kiel,Principal,(08) 8964 1957,colin.kiel@education.nt.gov.au
Adelaide River School,"31 Memorial Tce, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT",adelaideriver.ps@education.nt.gov.au,(08) 8976 7034,Clegg,Principal,(08) 8976 7034,tony.clegg@education.nt.gov.au
Acacia Hill School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT",acaciahill.school@education.nt.gov.au,(08) 895 52222,Dales,Administration Manager,(08) 895 52222,janet.dales@education.nt.gov.au
Casuarina Street Primary School,"Casuarina St, Katherine East, 0850, NT","PO Box 1046, KATHERINE, 0851, NT",casuarina.admin@education.nt.gov.au,(08) 897 33800,Branson,Administration Manager,(08) 897 33800,julie.branson@education.nt.gov.au
Alawa Primary School,"27 Pett Street, Alawa, 0810, NT","PO Box 40446, Casuarina, 0811, NT",alawa.school@education.nt.gov.au,(08) 899 77666,Cartwright,Principal,(08) 899 77666,sandy.cartwright@education.nt.gov.au
Callistemon House,"80 Callistemon Dr, Katherine East, 0850, NT","PO Box 1971, Katherine East, 0851, NT",admin.callistemon@education.nt.gov.au,(08) 8972 3212,Hutchinson,Administration Manager,(08) 897 25319,richelle.hutchinson@education.nt.gov.au
Bulman School,"N/A, Bulman, NT","PMB 13, Katherine, 0851, NT",natasha.hosny@education.nt.gov.au,(08) 8975 4707,Fisher,Administration Manager,(08) 897 25358,Jodie.fisher@education.nt.gov.au
Bulla Camp School,"N/A, Bulla, NT","PMB 89, Katherine, 0851, NT",jenine.williams@education.nt.gov.au,(08) 9167 8957,Angel,Administration Manager,(08) 8972 5347,kelly.angel1@education.nt.gov.au
Braitling Primary School,"80 Head St, Alice Springs, 0870, NT","PO Box  1669, ALICE SPRINGS, 0871, NT",admin.braitsch@education.nt.gov.au,(08) 895 85111,Pearson,Principal,(08) 895 85111,belinda.pearson@education.nt.gov.au
Yulara School,"21 Winmati St, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT",yulara.school@education.nt.gov.au,(08) 8956 2014,Churches,Business Manager,(08) 895 11656,rowan.churches@education.nt.gov.au
Borroloola School,"321 Robinson Rd, Borroloola, 0854, NT","PMB 5, Borroloola, 0854, NT",admin.borrosch@education.nt.gov.au,(08) 8975 8780,Arnott,Principal,(08) 8975 8780,jane.arnott@education.nt.gov.au
Bradshaw Primary School,"23 Adamson Ave, Alice Springs, 0870, NT","PO Box 1744, ALICE SPRINGS, 0871, NT",bradshaw.school@education.nt.gov.au,(08) 895 52100,Shaw,Administration Manager,(08) 895 52100,melanie.shaw@education.nt.gov.au
Zuccoli Primary School,"130 Zuccoli Parade, Zuccoli, 0830, NT","PO Box 2222, PALMERSTON, 0832, NT",ZuccoliPrimary@ntschools.net,(08) 792 30222,Edwards,Principal,(08) 792 30222,carolyn.edwards@education.nt.gov.au
Yuendumu School,"Conniston Rd, Yuendumu, NT","C/ - Post Office, Yuendumu, 0870, NT",michael.timewell@education.nt.gov.au,(08) 8956 4011,Foley,Administration Manager,08 895 11620,jodie.foley@education.nt.gov.au
Yirrkala School,"Rankine Road, Yirrkala, NT","PO Box 896, Nhulunbuy, 0881, NT",admin.yirrkala@ntschools.net,(08) 898 71988,Barker,Business Manager,(08) 894 49283,michelle.barker@education.nt.gov.au
Yirara College,"470 South Stuart Highway, Alice Springs, NT","PMB 51, Alice Springs, 0871, NT",info@yirara.nt.edu.au,(08) 8950 5644,England,Principal,8950 5633,chris.england@yirara.nt.edu.au
Yipirinya School,"Lovegrove Dr, Alice Springs, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT",yipirinya@yipirinya.com.au,(08) 8952 5633,Miller,Principal,8952 5633,principal@yipirinya.com.au
Yarralin School,"N/A, Yarralin, NT","PMB 34, via Katherine, 0851, NT",david.oke@education.nt.gov.au,(08) 8975 0809,Angel,Administration Manager,(08) 8972 5347,kelly.angel1@education.nt.gov.au
Xavier CEC,"Kerinauia Hwy, Nguiu, NT","PMB 139,, via Winnellie, 0822, NT",admin.xcec@nt.catholic.edu.au,(08) 8978 3970,Rice,Principal,08 89783970,andree.rice@xccw.net.au
Wulagi Primary School,"24 Brolga St, Wulagi, 0812, NT","24 Brolga St, WULAGI, 0812, NT",wulagi.primary@education.nt.gov.au,(08) 898 37800,Knights,Assistant Principal,(08) 898 37800,louise.knights@education.nt.gov.au
Wugularr School,"Laiwanga St, Wugularr, NT","PMB 6, Katherine, 0851, NT",admin.wugulsch@education.nt.gov.au,(08) 8975 4529,Anastacio,Administration Manager,(08) 897 25351,jianynne.anastacio1@education.nt.gov.au
Woolianna School,"Wooliana Rd, Daly River, NT","PMB 194, Winnellie, 0821, NT",woolianna.school@education.nt.gov.au,(08) 8978 2984 / 0477 333 413,Cartwright,Administration Manager,(08) 899 93548,donna.cartwright2@education.nt.gov.au
Woolaning School,"Litchfield Park Rd, Litchfield Park, NT","PO Box 3261, Palmerston, 0831, NT",admin.woolasch@education.nt.gov.au,(08) 8978 2334,Bramston,Principal,(08) 8978 2334,stuart.bramston@education.nt.gov.au
Woodroffe Primary School,"55 Woodroffe Ave, Woodroffe, 0830, NT","PO Box 2021, PALMERSTON, 0831, NT",woodroffe.ps@education.nt.gov.au,(08) 898 37600,Challen,Administration Manager,(08) 898 37600,sharon.challen@education.nt.gov.au
Willowra School,"N/A, Willowra, NT","PMB 102, via Alice Springs, 0872, NT",willowra.school@education.nt.gov.au,(08) 8956 8408,Babu,Administration Manager,(08) 896 32065,bob.babu@education.nt.gov.au
Watiyawanu School,"N/A, Mt Liebig, NT","PMB 111, via Alice Springs, 0872, NT",larry.kenny@education.nt.gov.au,(08) 8956 8555,Ball,Administration Manager,(08) 895 11661,michelle.ball@education.nt.gov.au
Watarrka School,"n/a, Lilla Community, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT",christine.munro@education.nt.gov.au,(08) 8956 7758,Churches,Administration Manager,(08) 895 11656,rowan.churches@education.nt.gov.au
Warruwi School,"N/A, Warruwi (Goulburn Island), 0822, NT","PMB 90, via WINNELLIE, 0821, NT",keira.stewart@education.nt.gov.au,(08) 8979 0222,Cameron,Administration Manager,(08) 894 49498,eden.cameron@education.nt.gov.au
Wanguri Primary School,"46 Gsell St, Wanguri, 0810, NT","PO Box 40519, CASUARINA, 0811, NT",wanguri.prim@education.nt.gov.au,(08) 8927 1655,Morgan,Principal,(08) 8927 1655,tim.morgan@education.nt.gov.au
Walungurru School,"N/A, Walungurru (Kintore), NT","PMB 14, via Alice Springs, 0872, NT",walungurru.school@education.nt.gov.au,(08)  8964 6056,Ball,Administration Manager,(08) 895 11661,michelle.ball@education.nt.gov.au
Wallace Rockhole School,"N/A, Wallace Rockhole, NT","PO Box 2256, Alice Springs, 0871, NT",wallace.rockhole@education.nt.gov.au,(08) 8956 7330,Schmull,Administration Manager,(08) 895 11641,gary.schmull@education.nt.gov.au
Wagaman Primary School,"35 Wagaman Tce, Wagaman, 0810, NT","PO Box 40019, CASUARINA, 0811, NT",wagaman.school@education.nt.gov.au,(08) 8922 6011,McKinnon,Principal,(08) 8922 6011,mandy.mckinnon@education.nt.gov.au
Urapunga School,"Blyth St, Rittarangu (Urapunga), NT","PMB 12, via Katherine, 0852, NT",admin.urapunga@education.nt.gov.au,(08) 8975 4645,Dargan,Principal,(08) 8975 4645,tracy.dargan@education.nt.gov.au
Tivendale School,"Tivendale Road, Berrimah, 0828, NT","PO Box 703, Karama, 0812, NT",rodney.cremona@education.nt.gov.au,(08) 899 95910,Cremona,Head of Campus,(08) 899 95911,rodney.cremona@education.nt.gov.au
Tiwi College,"Pickertaramoor Melville Island, , NT","LMB 127, Winnellie, 0822, NT",tiwi.college@ntschools.net,08 89709024,Lees,Principal,08 89709024,jill.lees@ntschools.net
Top End School of Flexible Learning,"1 Malak Place, Malak, 0812, NT","PO Box 703, Karama, 0812, NT",malakrc.det@education.nt.gov.au,(08) 899 77199,Charleston,Head of Campus - Malak,(08) 898 37924,damien.charleston@education.nt.gov.au
Titjikala School,"N/A, Titjikala (Maryvale), NT","PMB 130, via Alice Springs, 0872, NT",joanne.wickham@education.nt.gov.au,(08) 8956 0927,Cowham,Administration Manager,(08) 895 11659,lufen.cowham@education.nt.gov.au
Tipperary Station School,"Daly River Road, Tipperary, NT","PMB 214, via Winnellie, 0822, NT",rosemary.sullivan@education.nt.gov.au,(08) 8978 2765,Pedersen,Administration Manager,(08) 8901 4913,carmel.pedersen@education.nt.gov.au
Timber Creek School,"62 Wilson St, Timber Creek, NT","PMB 115, via Katherine, 0851, NT",timbercreek.admin@education.nt.gov.au,(08) 8975 0714,Adams,Principal,(08) 8975 0714,ann.adams@education.nt.gov.au
Ti Tree School,"26 Palmer St, Ti-Tree, NT","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT",ciaran.bailie@education.nt.gov.au,(08) 8956 9743,Baillie,Principal,(08) 8956 9743,ciaran.bailie@education.nt.gov.au
TESTGOVSCHOOL2,"n/a, n/a, NT","n/a, n/a, 0, n/a",n/a,n/a,Principal,Principal,,n/A
TESTGOVSCHOOL1,"n/a, n/a, NT","n/a, n/a, 0, n/a",n/a,n/a,Principal,Principal,n/a,n/a
Tennant Creek Primary School,"31 Paterson St, Tennant Creek, 0860, NT","PO Box 506, Tennant Creek, 0861, NT",admin.tennasch@education.nt.gov.au,(08) 896 32424,Greene,Principal,(08) 896 32424,frank.greene@education.nt.gov.au
Tennant Creek High School,"38 Stuart St, Tennant Creek, NT","PO Box 546, Tennant Creek, 0861, NT",admin.tchs@education.nt.gov.au,(08) 8962 2102,Davenport,Assistant Principal,(08) 8962 2102,pauline.davenport@education.nt.gov.au
Taminmin College,"70 Challoner Cct, Humpty Doo, NT","PO Box 21, HUMPTY DOO, 0836, NT",admin.taminmin@education.nt.gov.au,(08) 898 37000,Healy,Principal,(08) 898 37000,sue.healy@education.nt.gov.au
Stuart Park Primary School,"8 Nudl St, Stuart Park, 0820, NT","PO Box 37421, Winnellie, 0831, NT",stuartpark.school@education.nt.gov.au,(08) 899 77333,Grealy,Administration Manager,(08) 899 77333,bill.grealy@education.nt.gov.au
Stirling School,"N/A, Wilora (Stirling Station) 0872, NT","Stirling Station, via Alice Springs, 0872, NT",marita.mckenzie@education.nt.gov.au,(08) 8956 9759,Babu,Administration Manager,(08) 896 32065,bob.babu@education.nt.gov.au
St Philip's College,"2 Ulpaya Rd, Alice Springs, NT","PO Box 33, Alice Springs, 0871, NT",info@stphilips.nt.edu.au,(08) 8950 4511,Herbert,Principal,8950 4511,roger.herbert@stphilips.nt.edu.au
St Joseph's Flexible Learning Centre,"Youth Hub, 3 Wills Terrace, , Alice Springs, 0870, NT","P O Box 2991, Alice Springs, 0871, NT",stjosephsASFLC@youthplus.edu.au,0408 568 357,Fewtrell,Principal,0408 568 357,ann-maree.fewtrell@youthplus.edu.au
St Pauls Catholic School,"41 Francis St, Rapid Creek, NT","PO Box 40344, Casuarina, 0811, NT",admin.stpauls@nt.catholic.edu.au,(08) 8985 1937,Evans,Principal,08 89851937,megan.evans@nt.catholic.edu.au
St Mary's Catholic School,"3 Lindsay St, Darwin City, NT","PO Box 2413, Darwin, 0801, NT",admin.stmarys@nt.catholic.edu.au,(08) 8981 9796,Harrison,Principal,08 89819796,rosie.harrison@nt.catholic.edu.au
St Joseph's Catholic College,"Maluka Rd, Katherine East, NT","PO Box 535, Katherine, 0850, NT",admin.stjosephs@nt.catholic.edu.au,(08) 89723555,Graham,Principal,(08) 8972 3555,denis.graham@nt.catholic.edu.au
