player_name,season,wk,Game_date,OPP,Result,AST,PDEF
Mark Andrews,Regular Season,17,01/03/2021,Bengals,W 38 - 3,6.8,
Mark Andrews,Regular Season,16,12/27/2020,Giants,W 27 - 13,12.7,
Mark Andrews,Regular Season,15,12/20/2020,Jaguars,W 40 - 14,13.2,
Mark Andrews,Regular Season,14,12/15/2020,Browns,W 47 - 42,15.6,
Mark Andrews,Regular Season,11,11/22/2020,Titans,L 24 - 30,19.2,
Mark Andrews,Regular Season,10,11/16/2020,Patriots,L 17 - 23,8.7,
Mark Andrews,Regular Season,9,11/08/2020,Colts,W 24 - 10,7.3,
Mark Andrews,Regular Season,8,11/01/2020,Steelers,L 24 - 28,10.7,
Mark Andrews,Regular Season,3,09/29/2020,Chiefs,L 20 - 34,7.3,
Mark Andrews,Regular Season,2,09/20/2020,Texans,W 33 - 16,29,
Mark Andrews,Regular Season,6,10/18/2020,Eagles,W 30 - 28,10.5,
Mark Andrews,Regular Season,5,10/11/2020,Bengals,W 27 - 3,9.3,
Mark Andrews,Regular Season,4,10/04/2020,Football Team,W 31 - 17,19,
Mark Andrews,Regular Season,1,09/13/2020,Browns,W 38 - 6,11.6,
Mark Andrews,Post Season,2,01/17/2021,Bills,L 3 - 17,7,
Mark Andrews,Post Season,1,01/10/2021,Titans,W 20 - 13,10.3,
David Andrews,Regular Season,17,01/03/2021,Jets,W 28 - 14,,
David Andrews,Regular Season,16,12/29/2020,Bills,L 9 - 38,,
David Andrews,Regular Season,15,12/20/2020,Dolphins,L 12 - 22,,
David Andrews,Regular Season,14,12/11/2020,Rams,L 3 - 24,,
David Andrews,Regular Season,13,12/06/2020,Chargers,W 45 - 0,,
David Andrews,Regular Season,12,11/29/2020,Cardinals,W 20 - 17,,
David Andrews,Regular Season,11,11/22/2020,Texans,L 20 - 27,,
David Andrews,Regular Season,10,11/16/2020,Ravens,W 23 - 17,,
David Andrews,Regular Season,9,11/10/2020,Jets,W 30 - 27,,
David Andrews,Regular Season,8,11/01/2020,Bills,L 21 - 24,,
David Andrews,Regular Season,7,10/25/2020,49ers,L 6 - 33,,
David Andrews,Regular Season,1,09/13/2020,Dolphins,W 21 - 11,,
David Andrews,Regular Season,2,09/21/2020,Seahawks,L 30 - 35,,
Bryan Anger,Regular Season,17,01/03/2021,Titans,L 38 - 41,42,42
Bryan Anger,Regular Season,16,12/27/2020,Bengals,L 31 - 37,153,38.3
Bryan Anger,Regular Season,15,12/20/2020,Colts,L 20 - 27,82,41
Bryan Anger,Regular Season,14,12/13/2020,Bears,L 7 - 36,168,42
Bryan Anger,Regular Season,13,12/06/2020,Colts,L 20 - 26,123,41
Bryan Anger,Regular Season,12,11/26/2020,Lions,W 41 - 25,117,39
Bryan Anger,Regular Season,11,11/22/2020,Patriots,W 27 - 20,158,39.5
Bryan Anger,Regular Season,10,11/15/2020,Browns,L 7 - 10,137,45.7
Bryan Anger,Regular Season,9,11/08/2020,Jaguars,W 27 - 25,200,40
Bryan Anger,Regular Season,7,10/25/2020,Packers,L 20 - 35,179,44.8
Bryan Anger,Regular Season,2,09/20/2020,Ravens,L 16 - 33,132,44
Bryan Anger,Regular Season,6,10/18/2020,Titans,L 36 - 42,169,42.3
Bryan Anger,Regular Season,1,09/11/2020,Chiefs,L 20 - 34,123,41
Bryan Anger,Regular Season,5,10/11/2020,Jaguars,W 30 - 14,33,33
Bryan Anger,Regular Season,4,10/04/2020,Vikings,L 23 - 31,175,43.8
Bryan Anger,Regular Season,3,09/27/2020,Steelers,L 21 - 28,266,44.3
Troy Apke,Regular Season,17,01/04/2021,Eagles,W 20 - 14,,
Troy Apke,Regular Season,16,12/27/2020,Panthers,L 13 - 20,1,0
Troy Apke,Regular Season,15,12/20/2020,Seahawks,L 15 - 20,2,0
Troy Apke,Regular Season,14,12/13/2020,49ers,W 23 - 15,,
Troy Apke,Regular Season,13,12/07/2020,Steelers,W 23 - 17,,
Troy Apke,Regular Season,12,11/26/2020,Cowboys,W 41 - 16,0,0
Troy Apke,Regular Season,11,11/22/2020,Bengals,W 20 - 9,1,0
Troy Apke,Regular Season,10,11/15/2020,Lions,L 27 - 30,0,0
Troy Apke,Regular Season,9,11/08/2020,Giants,L 20 - 23,,
Troy Apke,Regular Season,3,09/27/2020,Browns,L 20 - 34,0,1
Troy Apke,Regular Season,7,10/25/2020,Cowboys,W 25 - 3,0,0
Troy Apke,Regular Season,2,09/20/2020,Cardinals,L 15 - 30,1,0
Troy Apke,Regular Season,6,10/18/2020,Giants,L 19 - 20,,
Troy Apke,Regular Season,1,09/13/2020,Eagles,W 27 - 17,3,0
Troy Apke,Regular Season,5,10/11/2020,Rams,L 10 - 30,1,0
Troy Apke,Regular Season,4,10/04/2020,Ravens,L 17 - 31,1,1
Troy Apke,Post Season,1,01/10/2021,Buccaneers,L 23 - 31,,
Chidobe Awuzie,Regular Season,17,01/03/2021,Giants,L 19 - 23,2,0
Chidobe Awuzie,Regular Season,16,12/27/2020,Eagles,W 37 - 17,0,0
Chidobe Awuzie,Regular Season,15,12/20/2020,49ers,W 41 - 33,2,2
Chidobe Awuzie,Regular Season,13,12/09/2020,Ravens,L 17 - 34,1,0
Chidobe Awuzie,Regular Season,12,11/26/2020,Football Team,L 16 - 41,0,1
Chidobe Awuzie,Regular Season,11,11/22/2020,Vikings,W 31 - 28,4,0
Chidobe Awuzie,Regular Season,2,09/20/2020,Falcons,W 40 - 39,0,1
Chidobe Awuzie,Regular Season,1,09/14/2020,Rams,L 17 - 20,0,1
Ezekiel Ansah,Regular Season,3,09/27/2020,Giants,W 36 - 9,,
Ezekiel Ansah,Regular Season,4,10/05/2020,Eagles,L 20 - 25,,
Josh Andrews,Regular Season,16,12/27/2020,Browns,W 23 - 16,,
Josh Andrews,Regular Season,15,12/20/2020,Rams,W 23 - 20,,
Josh Andrews,Regular Season,14,12/13/2020,Seahawks,L 3 - 40,,
Josh Andrews,Regular Season,13,12/06/2020,Raiders,L 28 - 31,,
Josh Andrews,Regular Season,12,11/29/2020,Dolphins,L 3 - 20,,
Josh Andrews,Regular Season,11,11/22/2020,Chargers,L 28 - 34,,
