player_name,season,wk,Game_date,OPP,Result,AST,PDEF
Josh Uche,Regular Season,16,12/29/2020,Bills,L 9 - 38,1,0
Josh Uche,Regular Season,15,12/20/2020,Dolphins,L 12 - 22,1,0
Josh Uche,Regular Season,14,12/11/2020,Rams,L 3 - 24,0,0
Josh Uche,Regular Season,13,12/06/2020,Chargers,W 45 - 0,0,0
Josh Uche,Regular Season,12,11/29/2020,Cardinals,W 20 - 17,0,0
Josh Uche,Regular Season,11,11/22/2020,Texans,L 20 - 27,0,0
Josh Uche,Regular Season,10,11/16/2020,Ravens,W 23 - 17,0,0
Josh Uche,Regular Season,9,11/10/2020,Jets,W 30 - 27,,
Josh Uche,Regular Season,8,11/01/2020,Bills,L 21 - 24,0,0
Josh Uche,Regular Season,1,09/13/2020,Dolphins,W 21 - 11,,
Josh Uche,Regular Season,2,09/21/2020,Seahawks,L 30 - 35,,
Brandon Aiyuk,Regular Season,17,01/03/2021,Seahawks,L 23 - 26,,
Brandon Aiyuk,Regular Season,16,12/26/2020,Cardinals,W 20 - 12,15,1
Brandon Aiyuk,Regular Season,15,12/20/2020,Cowboys,L 33 - 41,8.1,
Brandon Aiyuk,Regular Season,14,12/13/2020,Football Team,L 15 - 23,11.9,
Brandon Aiyuk,Regular Season,13,12/08/2020,Bills,L 24 - 34,19,
Brandon Aiyuk,Regular Season,10,11/15/2020,Saints,L 13 - 27,10.7,1
Brandon Aiyuk,Regular Season,8,11/01/2020,Seahawks,L 27 - 37,11.4,
Brandon Aiyuk,Regular Season,3,09/27/2020,Giants,W 36 - 9,14,3
Brandon Aiyuk,Regular Season,7,10/25/2020,Patriots,W 33 - 6,19.2,
Brandon Aiyuk,Regular Season,2,09/20/2020,Jets,W 31 - 13,10.5,
Brandon Aiyuk,Regular Season,6,10/19/2020,Rams,W 24 - 16,6,
Brandon Aiyuk,Regular Season,1,09/13/2020,Cardinals,L 20 - 24,,
Brandon Aiyuk,Regular Season,5,10/11/2020,Dolphins,L 17 - 43,14.7,
Brandon Aiyuk,Regular Season,4,10/05/2020,Eagles,L 20 - 25,9,1
Shy Tuttle,Regular Season,17,01/03/2021,Panthers,W 33 - 7,1,0
Shy Tuttle,Regular Season,16,12/25/2020,Vikings,W 52 - 33,1,1
Shy Tuttle,Regular Season,15,12/20/2020,Chiefs,L 29 - 32,3,1
Shy Tuttle,Regular Season,14,12/13/2020,Eagles,L 21 - 24,4,0
Shy Tuttle,Regular Season,13,12/06/2020,Falcons,W 21 - 16,0,0
Shy Tuttle,Regular Season,12,11/29/2020,Broncos,W 31 - 3,0,0
Shy Tuttle,Regular Season,11,11/22/2020,Falcons,W 24 - 9,,
Shy Tuttle,Regular Season,10,11/15/2020,49ers,W 27 - 13,0,0
Shy Tuttle,Regular Season,9,11/09/2020,Buccaneers,W 38 - 3,,
Shy Tuttle,Regular Season,8,11/01/2020,Bears,W 26 - 23,1,0
Shy Tuttle,Regular Season,7,10/25/2020,Panthers,W 27 - 24,0,0
Shy Tuttle,Regular Season,2,09/22/2020,Raiders,L 24 - 34,,
Shy Tuttle,Regular Season,1,09/13/2020,Buccaneers,W 34 - 23,,
Shy Tuttle,Regular Season,5,10/13/2020,Chargers,W 30 - 27,1,0
Shy Tuttle,Regular Season,4,10/04/2020,Lions,W 35 - 29,,
Shy Tuttle,Regular Season,3,09/28/2020,Packers,L 30 - 37,,
Shy Tuttle,Post Season,2,01/17/2021,Buccaneers,L 20 - 30,1,0
Shy Tuttle,Post Season,1,01/10/2021,Bears,W 21 - 9,1,0
Jordan Miller,Regular Season,8,10/30/2020,Panthers,W 25 - 17,,
Jordan Miller,Regular Season,7,10/25/2020,Falcons,W 23 - 22,,
Jordan Miller,Regular Season,6,10/18/2020,Vikings,W 40 - 23,,
Jordan Miller,Regular Season,5,10/11/2020,Falcons,W 23 - 16,,
Jordan Miller,Regular Season,4,10/06/2020,Packers,L 16 - 30,0,0
Marcus Williams,Regular Season,17,01/03/2021,Panthers,W 33 - 7,,
Marcus Williams,Regular Season,16,12/25/2020,Vikings,W 52 - 33,,
Marcus Williams,Regular Season,15,12/20/2020,Chiefs,L 29 - 32,1,1
Marcus Williams,Regular Season,14,12/13/2020,Eagles,L 21 - 24,2,0
Marcus Williams,Regular Season,13,12/06/2020,Falcons,W 21 - 16,2,1
Marcus Williams,Regular Season,12,11/29/2020,Broncos,W 31 - 3,0,0
Marcus Williams,Regular Season,11,11/22/2020,Falcons,W 24 - 9,1,1
Marcus Williams,Regular Season,10,11/15/2020,49ers,W 27 - 13,5,1
Marcus Williams,Regular Season,9,11/09/2020,Buccaneers,W 38 - 3,0,1
