player_name,season,wk,Game_date,OPP,Result,AST,PDEF,page_url
Tavon Young,Regular Season,2,09/20/2020,Texans,W 33 - 16,,,https://www.nfl.com/players/tavon-young/stats/logs/
Tavon Young,Regular Season,1,09/13/2020,Browns,W 38 - 6,0,0,https://www.nfl.com/players/tavon-young/stats/logs/
Kevin Zeitler,Regular Season,17,01/03/2021,Cowboys,W 23 - 19,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,16,12/27/2020,Ravens,L 13 - 27,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,15,12/21/2020,Browns,L 6 - 20,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,14,12/13/2020,Cardinals,L 7 - 26,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,13,12/06/2020,Seahawks,W 17 - 12,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,12,11/29/2020,Bengals,W 19 - 17,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,10,11/15/2020,Eagles,W 27 - 17,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,9,11/08/2020,Football Team,W 23 - 20,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,8,11/03/2020,Buccaneers,L 23 - 25,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,3,09/27/2020,49ers,L 9 - 36,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,7,10/23/2020,Eagles,L 21 - 22,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,2,09/20/2020,Bears,L 13 - 17,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,6,10/18/2020,Football Team,W 20 - 19,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,1,09/14/2020,Steelers,L 16 - 26,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,5,10/11/2020,Cowboys,L 34 - 37,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Kevin Zeitler,Regular Season,4,10/04/2020,Rams,L 9 - 17,,,https://www.nfl.com/players/kevin-zeitler/stats/logs/
Peter Kalambayi,Regular Season,17,01/03/2021,Titans,L 38 - 41,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,16,12/27/2020,Bengals,L 31 - 37,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,15,12/20/2020,Colts,L 20 - 27,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,14,12/13/2020,Bears,L 7 - 36,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,13,12/06/2020,Colts,L 20 - 26,1,0,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,12,11/26/2020,Lions,W 41 - 25,1,0,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,11,11/22/2020,Patriots,W 27 - 20,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,10,11/15/2020,Browns,L 7 - 10,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,9,11/08/2020,Jaguars,W 27 - 25,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,7,10/25/2020,Packers,L 20 - 35,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,2,09/20/2020,Ravens,L 16 - 33,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,6,10/18/2020,Titans,L 36 - 42,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,1,09/11/2020,Chiefs,L 20 - 34,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,5,10/11/2020,Jaguars,W 30 - 14,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,4,10/04/2020,Vikings,L 23 - 31,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Peter Kalambayi,Regular Season,3,09/27/2020,Steelers,L 21 - 28,,,https://www.nfl.com/players/peter-kalambayi/stats/logs/
Efe Obada,Regular Season,17,01/03/2021,Saints,L 7 - 33,0,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,16,12/27/2020,Football Team,W 20 - 13,0,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,15,12/20/2020,Packers,L 16 - 24,0,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,14,12/13/2020,Broncos,L 27 - 32,1,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,12,11/29/2020,Vikings,L 27 - 28,0,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,11,11/22/2020,Lions,W 20 - 0,1,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,10,11/15/2020,Buccaneers,L 23 - 46,1,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,9,11/08/2020,Chiefs,L 31 - 33,1,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,8,10/30/2020,Falcons,L 17 - 25,0,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,3,09/27/2020,Chargers,W 21 - 16,0,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,7,10/25/2020,Saints,L 24 - 27,0,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,2,09/20/2020,Buccaneers,L 17 - 31,0,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,6,10/18/2020,Bears,L 16 - 23,0,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,5,10/11/2020,Falcons,W 23 - 16,2,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,4,10/04/2020,Cardinals,W 31 - 21,0,0,https://www.nfl.com/players/efe-obada/stats/logs/
Efe Obada,Regular Season,1,09/13/2020,Raiders,L 30 - 34,2,0,https://www.nfl.com/players/efe-obada/stats/logs/
Oshane Ximines,Regular Season,3,09/27/2020,49ers,L 9 - 36,1,0,https://www.nfl.com/players/oshane-ximines/stats/logs/
Oshane Ximines,Regular Season,2,09/20/2020,Bears,L 13 - 17,0,0,https://www.nfl.com/players/oshane-ximines/stats/logs/
Oshane Ximines,Regular Season,1,09/14/2020,Steelers,L 16 - 26,0,0,https://www.nfl.com/players/oshane-ximines/stats/logs/
Oshane Ximines,Regular Season,4,10/04/2020,Rams,L 9 - 17,0,0,https://www.nfl.com/players/oshane-ximines/stats/logs/
Walter Palmore,Regular Season,17,01/03/2021,Giants,L 19 - 23,1,0,https://www.nfl.com/players/walter-palmore/stats/logs/
Rodger Saffold,Regular Season,17,01/03/2021,Texans,W 41 - 38,,,https://www.nfl.com/players/rodger-saffold/stats/logs/
