Brand,Model,Size,Price,Sidewall,Load Index,Speed Rating,Ply Rating,UTQG,Max Single Load(lbs),Max Single Air Pressure(PSI),Tread Depth,Tread Design,Rim Width Range,Measured Rim Width,Section Width,Tread Width,Overall Diameter,Manufacturer #,URL
AMP,Terrain Attack A/T,305/40R22,Loading,BSW,114,S,Not Available,Not Available,2601,50,13.9,Not Available,10.0-12.0,Not Available,12.3,Not Available,31.6,3054022AMPCA3,https://www.tires-easy.com/305-40-22/amp-tires/terrain-attack-a-t/tirecode/3054022AMPCA3
AMP,Terrain Pro A/T,LT275/55R20,Loading,BSW,115/112,S,D/8PR,Not Available,2680,65,15.5,Not Available,7.5-9.5,Not Available,11.18,Not Available,31.89,2755520AMPCA2,https://www.tires-easy.com/275-55-20/amp-tires/terrain-pro-a-t/tirecode/2755520AMPCA2
AMP,Terrain Pro A/T,LT275/70R18,Loading,BSW,125/122,R,E/10PR,Not Available,3640,80,15.5,Not Available,7.0-8.5,Not Available,10.98,Not Available,33.19,2757018AMPCA2,https://www.tires-easy.com/275-70-18/amp-tires/terrain-pro-a-t/tirecode/2757018AMPCA2
AMP,Terrain Pro A/T,Other sizes,Loading,BSW,121/118,R,E/10PR,Not Available,3195,80,15.1,Not Available,7.5-9.0,Not Available,11.5,Not Available,32.76,2857017AMPCA2,https://www.tires-easy.com/285-70-17/amp-tires/terrain-pro-a-t/tirecode/2857017AMPCA2
AMP,Terrain Attack A/T,LT265/70R17,$ 227.99,BSW,121/118,S,E/10PR,Not Available,3195,80,15.5,Not Available,7.0-8.5,Not Available,10.71,Not Available,31.65,2657017AMPCA3,https://www.tires-easy.com/265-70-17/amp-tires/terrain-attack-a-t/tirecode/2657017AMPCA3
AMP,Terrain Attack A/T,LT265/50R20,$ 238.99,BSW,121/118,S,E/10PR,Not Available,3195,80,15.5,Not Available,7.5-9.5,Not Available,10.91,Not Available,30.47,2655020AMPCA3,https://www.tires-easy.com/265-50-20/amp-tires/terrain-attack-a-t/tirecode/2655020AMPCA3
AMP,Terrain Attack A/T,LT285/70R17,$ 267.99,BSW,121/118,R,E/10PR,Not Available,3195,80,15.5,Not Available,7.5-9.0,Not Available,11.61,Not Available,32.64,2857017AMPCA3,https://www.tires-easy.com/285-70-17/amp-tires/terrain-attack-a-t/tirecode/2857017AMPCA3
AMP,Terrain Attack A/T,LT275/55R20,$ 246.99,BSW,115,S,D/8PR,Not Available,2679,65,15.5,Not Available,9.0-9.0,Not Available,11.18,Not Available,31.89,2755520AMPCA3,https://www.tires-easy.com/275-55-20/amp-tires/terrain-attack-a-t/tirecode/2755520AMPCA3
AMP,Terrain Pro A/T,LT265/60R20,$ 275.99,BSW,121/118,S,E/10PR,Not Available,3195,80,15.1,Not Available,7.5-9.5,Not Available,10.71,Not Available,32.52,2656020AMPCA2,https://www.tires-easy.com/265-60-20/amp-tires/terrain-pro-a-t/tirecode/2656020AMPCA2
AMP,Terrain Pro A/T,LT265/70R17,$ 225.99,BSW,121/118,S,E/10PR,Not Available,3195,80,15.1,Not Available,7.0-8.5,Not Available,10.71,Not Available,31.65,2657017AMPCA2,https://www.tires-easy.com/265-70-17/amp-tires/terrain-pro-a-t/tirecode/2657017AMPCA2
